School,G,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Tennessee Tech,32,2317,2340,785,1860,.422,241,742,.325,506,715,.708,356,1144,435,213,115,434,675
Tennessee,32,2383,2335,803,1903,.422,189,579,.326,588,807,.729,388,1206,441,175,146,399,670
Texas A&M-Corpus Christi,36,2715,2574,974,2071,.470,195,588,.332,572,792,.722,368,1227,486,337,142,485,703
Texas A&M,31,2176,2102,804,1754,.458,189,574,.329,379,584,.649,401,1193,489,186,173,439,511
Texas-Arlington,36,2818,2516,999,2168,.461,310,920,.337,510,749,.681,430,1384,566,266,81,472,691
Texas Christian,39,2914,2718,1064,2284,.466,280,790,.354,506,738,.686,453,1404,661,256,175,504,676
Texas-El Paso,32,2217,2202,812,1731,.469,180,517,.348,413,624,.662,235,1101,463,172,99,427,618
Texas-Rio Grande Valley,32,2505,2665,869,2050,.424,276,821,.336,491,685,.717,382,1180,484,246,82,507,780
Texas-San Antonio,33,2178,2291,769,1959,.393,172,608,.283,468,703,.666,425,1293,357,183,62,418,642
Texas Southern ,35,2593,2544,866,2015,.430,205,693,.296,656,893,.735,401,1228,409,250,111,407,607
Texas State,36,2407,2256,865,1933,.447,217,657,.330,460,696,.661,345,1211,526,237,160,423,642
Texas Tech,32,2346,2146,835,1776,.470,212,577,.367,464,633,.733,299,1050,427,169,98,354,562
Texas,33,2215,2273,810,1846,.439,181,619,.292,414,637,.650,323,1133,376,190,149,443,588
Toledo,34,2675,2567,944,1966,.480,262,724,.362,525,755,.695,339,1274,551,135,92,447,574
Towson,33,2447,2285,850,1900,.447,155,499,.311,592,868,.682,445,1305,348,226,118,426,686
Troy ,37,2889,2667,982,2153,.456,311,867,.359,614,847,.725,409,1362,484,221,129,462,654
Tulane,31,2179,2434,751,1856,.405,221,683,.324,456,636,.717,349,1062,398,192,119,420,646
Tulsa,32,2158,2249,701,1673,.419,234,683,.343,522,716,.729,311,1112,362,145,80,473,579
UCLA ,36,3233,2719,1210,2320,.522,354,872,.406,459,622,.738,343,1386,771,212,191,404,583
